EventID,FunName,Location,Message
1,Cultural Feast,Circular Quay,Youve been doing the same old thing all week. Are you really going to skip *real* fun at Circular Quay? Prove you have taste and join Cultural Feast. Join us on {EventTime}.
1,Cultural Feast,Circular Quay,Still stuck in your routine? How about experiencing something *actual* at Circular Quay? Or are you too comfy in your bad habits to join Cultural Feast? Join us on {EventTime}.
1,Cultural Feast,Circular Quay,"Circular Quay is hosting Cultural Feast, but hey, if you prefer staying home, who am I to judge? (I totally am). Join us on {EventTime}."
1,Cultural Feast,Circular Quay,You know that couch youre sitting on? Its not as comfortable as you think. Cultural Feast at Circular Quay is where the real action is. But you do you Join us on {EventTime}.
1,Cultural Feast,Circular Quay,"Skipping Cultural Feast at Circular Quay? Wow, thats bold. Guess your usual plans must be really groundbreaking. Join us on {EventTime}."
2,Flicks & Food,Barangaroo,Youve been doing the same old thing all week. Are you really going to skip *real* fun at Barangaroo? Prove you have taste and join Flicks & Food. Join us on {EventTime}.
2,Flicks & Food,Barangaroo,Still stuck in your routine? How about experiencing something *actual* at Barangaroo? Or are you too comfy in your bad habits to join Flicks & Food? Join us on {EventTime}.
2,Flicks & Food,Barangaroo,"Barangaroo is hosting Flicks & Food, but hey, if you prefer staying home, who am I to judge? (I totally am). Join us on {EventTime}."
2,Flicks & Food,Barangaroo,You know that couch youre sitting on? Its not as comfortable as you think. Flicks & Food at Barangaroo is where the real action is. But you do you Join us on {EventTime}.
2,Flicks & Food,Barangaroo,"Skipping Flicks & Food at Barangaroo? Wow, thats bold. Guess your usual plans must be really groundbreaking. Join us on {EventTime}."
3,Mindful Moments,Newtown,Youve been doing the same old thing all week. Are you really going to skip *real* fun at Newtown? Prove you have taste and join Mindful Moments. Join us on {EventTime}.
3,Mindful Moments,Newtown,Still stuck in your routine? How about experiencing something *actual* at Newtown? Or are you too comfy in your bad habits to join Mindful Moments? Join us on {EventTime}.
3,Mindful Moments,Newtown,"Newtown is hosting Mindful Moments, but hey, if you prefer staying home, who am I to judge? (I totally am). Join us on {EventTime}."
3,Mindful Moments,Newtown,You know that couch youre sitting on? Its not as comfortable as you think. Mindful Moments at Newtown is where the real action is. But you do you Join us on {EventTime}.
3,Mindful Moments,Newtown,"Skipping Mindful Moments at Newtown? Wow, thats bold. Guess your usual plans must be really groundbreaking. Join us on {EventTime}."
4,Mindful Moments,Manly,Youve been doing the same old thing all week. Are you really going to skip *real* fun at Manly? Prove you have taste and join Mindful Moments. Join us on {EventTime}.
4,Mindful Moments,Manly,Still stuck in your routine? How about experiencing something *actual* at Manly? Or are you too comfy in your bad habits to join Mindful Moments? Join us on {EventTime}.
4,Mindful Moments,Manly,"Manly is hosting Mindful Moments, but hey, if you prefer staying home, who am I to judge? (I totally am). Join us on {EventTime}."
4,Mindful Moments,Manly,You know that couch youre sitting on? Its not as comfortable as you think. Mindful Moments at Manly is where the real action is. But you do you Join us on {EventTime}.
4,Mindful Moments,Manly,"Skipping Mindful Moments at Manly? Wow, thats bold. Guess your usual plans must be really groundbreaking. Join us on {EventTime}."
5,Sunset Soirée,Newtown,Youve been doing the same old thing all week. Are you really going to skip *real* fun at Newtown? Prove you have taste and join Sunset Soire. Join us on {EventTime}.
5,Sunset Soirée,Newtown,Still stuck in your routine? How about experiencing something *actual* at Newtown? Or are you too comfy in your bad habits to join Sunset Soire? Join us on {EventTime}.
5,Sunset Soirée,Newtown,"Newtown is hosting Sunset Soire, but hey, if you prefer staying home, who am I to judge? (I totally am). Join us on {EventTime}."
5,Sunset Soirée,Newtown,You know that couch youre sitting on? Its not as comfortable as you think. Sunset Soire at Newtown is where the real action is. But you do you Join us on {EventTime}.
5,Sunset Soirée,Newtown,"Skipping Sunset Soire at Newtown? Wow, thats bold. Guess your usual plans must be really groundbreaking. Join us on {EventTime}."
6,Cultural Feast,Sydney Opera House,Youve been doing the same old thing all week. Are you really going to skip *real* fun at Sydney Opera House? Prove you have taste and join Cultural Feast. Join us on {EventTime}.
6,Cultural Feast,Sydney Opera House,Still stuck in your routine? How about experiencing something *actual* at Sydney Opera House? Or are you too comfy in your bad habits to join Cultural Feast? Join us on {EventTime}.
6,Cultural Feast,Sydney Opera House,"Sydney Opera House is hosting Cultural Feast, but hey, if you prefer staying home, who am I to judge? (I totally am). Join us on {EventTime}."
6,Cultural Feast,Sydney Opera House,You know that couch youre sitting on? Its not as comfortable as you think. Cultural Feast at Sydney Opera House is where the real action is. But you do you Join us on {EventTime}.
6,Cultural Feast,Sydney Opera House,"Skipping Cultural Feast at Sydney Opera House? Wow, thats bold. Guess your usual plans must be really groundbreaking. Join us on {EventTime}."
7,DIY Decor,Circular Quay,Youve been doing the same old thing all week. Are you really going to skip *real* fun at Circular Quay? Prove you have taste and join DIY Decor. Join us on {EventTime}.
7,DIY Decor,Circular Quay,Still stuck in your routine? How about experiencing something *actual* at Circular Quay? Or are you too comfy in your bad habits to join DIY Decor? Join us on {EventTime}.
7,DIY Decor,Circular Quay,"Circular Quay is hosting DIY Decor, but hey, if you prefer staying home, who am I to judge? (I totally am). Join us on {EventTime}."
7,DIY Decor,Circular Quay,You know that couch youre sitting on? Its not as comfortable as you think. DIY Decor at Circular Quay is where the real action is. But you do you Join us on {EventTime}.
7,DIY Decor,Circular Quay,"Skipping DIY Decor at Circular Quay? Wow, thats bold. Guess your usual plans must be really groundbreaking. Join us on {EventTime}."
8,Cultural Feast,Circular Quay,Youve been doing the same old thing all week. Are you really going to skip *real* fun at Circular Quay? Prove you have taste and join Cultural Feast. Join us on {EventTime}.
8,Cultural Feast,Circular Quay,Still stuck in your routine? How about experiencing something *actual* at Circular Quay? Or are you too comfy in your bad habits to join Cultural Feast? Join us on {EventTime}.
8,Cultural Feast,Circular Quay,"Circular Quay is hosting Cultural Feast, but hey, if you prefer staying home, who am I to judge? (I totally am). Join us on {EventTime}."
8,Cultural Feast,Circular Quay,You know that couch youre sitting on? Its not as comfortable as you think. Cultural Feast at Circular Quay is where the real action is. But you do you Join us on {EventTime}.
8,Cultural Feast,Circular Quay,"Skipping Cultural Feast at Circular Quay? Wow, thats bold. Guess your usual plans must be really groundbreaking. Join us on {EventTime}."
9,Chill & Grill,Newtown,Youve been doing the same old thing all week. Are you really going to skip *real* fun at Newtown? Prove you have taste and join Chill & Grill. Join us on {EventTime}.
9,Chill & Grill,Newtown,Still stuck in your routine? How about experiencing something *actual* at Newtown? Or are you too comfy in your bad habits to join Chill & Grill? Join us on {EventTime}.
9,Chill & Grill,Newtown,"Newtown is hosting Chill & Grill, but hey, if you prefer staying home, who am I to judge? (I totally am). Join us on {EventTime}."
9,Chill & Grill,Newtown,You know that couch youre sitting on? Its not as comfortable as you think. Chill & Grill at Newtown is where the real action is. But you do you Join us on {EventTime}.
9,Chill & Grill,Newtown,"Skipping Chill & Grill at Newtown? Wow, thats bold. Guess your usual plans must be really groundbreaking. Join us on {EventTime}."
10,Thrill Seeker's Delight,Newtown,Youve been doing the same old thing all week. Are you really going to skip *real* fun at Newtown? Prove you have taste and join Thrill Seeker's Delight. Join us on {EventTime}.
10,Thrill Seeker's Delight,Newtown,Still stuck in your routine? How about experiencing something *actual* at Newtown? Or are you too comfy in your bad habits to join Thrill Seeker's Delight? Join us on {EventTime}.
10,Thrill Seeker's Delight,Newtown,"Newtown is hosting Thrill Seeker's Delight, but hey, if you prefer staying home, who am I to judge? (I totally am). Join us on {EventTime}."
10,Thrill Seeker's Delight,Newtown,You know that couch youre sitting on? Its not as comfortable as you think. Thrill Seeker's Delight at Newtown is where the real action is. But you do you Join us on {EventTime}.
10,Thrill Seeker's Delight,Newtown,"Skipping Thrill Seeker's Delight at Newtown? Wow, thats bold. Guess your usual plans must be really groundbreaking. Join us on {EventTime}."
11,Taste of Sydney,Darling Harbour,Youve been doing the same old thing all week. Are you really going to skip *real* fun at Darling Harbour? Prove you have taste and join Taste of Sydney. Join us on {EventTime}.
11,Taste of Sydney,Darling Harbour,Still stuck in your routine? How about experiencing something *actual* at Darling Harbour? Or are you too comfy in your bad habits to join Taste of Sydney? Join us on {EventTime}.
11,Taste of Sydney,Darling Harbour,"Darling Harbour is hosting Taste of Sydney, but hey, if you prefer staying home, who am I to judge? (I totally am). Join us on {EventTime}."
